######################### Start train #########################
Tot_step: 4317   	 | Episode: 180  	 | Time: 21.50 	 | Reward : 108.691 	 | actor_loss : 24.398 	 | critic_loss : 631.356
Tot_step: 4752   	 | Episode: 200  	 | Time: 21.75 	 | Reward : 108.581 	 | actor_loss : 7.095 	 | critic_loss : 482.326
Tot_step: 5240   	 | Episode: 220  	 | Time: 24.40 	 | Reward : 122.790 	 | actor_loss : -8.825 	 | critic_loss : 271.280
Tot_step: 5737   	 | Episode: 240  	 | Time: 24.85 	 | Reward : 123.824 	 | actor_loss : -21.588 	 | critic_loss : 204.433
Tot_step: 6203   	 | Episode: 260  	 | Time: 23.30 	 | Reward : 117.118 	 | actor_loss : -30.870 	 | critic_loss : 187.565
Tot_step: 6662   	 | Episode: 280  	 | Time: 22.95 	 | Reward : 115.914 	 | actor_loss : -37.136 	 | critic_loss : 176.923
Tot_step: 7164   	 | Episode: 300  	 | Time: 25.10 	 | Reward : 125.574 	 | actor_loss : -40.437 	 | critic_loss : 187.270
Tot_step: 7624   	 | Episode: 320  	 | Time: 23.00 	 | Reward : 115.865 	 | actor_loss : -42.276 	 | critic_loss : 188.016
Tot_step: 8099   	 | Episode: 340  	 | Time: 23.75 	 | Reward : 119.540 	 | actor_loss : -43.150 	 | critic_loss : 192.168
Tot_step: 8539   	 | Episode: 360  	 | Time: 22.00 	 | Reward : 108.871 	 | actor_loss : -44.565 	 | critic_loss : 182.790
Tot_step: 9037   	 | Episode: 380  	 | Time: 24.90 	 | Reward : 124.611 	 | actor_loss : -46.931 	 | critic_loss : 201.163
Tot_step: 9497   	 | Episode: 400  	 | Time: 23.00 	 | Reward : 115.224 	 | actor_loss : -50.763 	 | critic_loss : 207.231
Tot_step: 10074  	 | Episode: 420  	 | Time: 28.85 	 | Reward : 144.945 	 | actor_loss : -55.686 	 | critic_loss : 210.917
Tot_step: 11391  	 | Episode: 440  	 | Time: 65.85 	 | Reward : 336.822 	 | actor_loss : -66.327 	 | critic_loss : 248.686
Tot_step: 13005  	 | Episode: 460  	 | Time: 80.70 	 | Reward : 402.839 	 | actor_loss : -79.296 	 | critic_loss : 239.012
Tot_step: 14411  	 | Episode: 480  	 | Time: 70.30 	 | Reward : 355.244 	 | actor_loss : -86.890 	 | critic_loss : 203.428
Tot_step: 15711  	 | Episode: 500  	 | Time: 65.00 	 | Reward : 349.258 	 | actor_loss : -89.768 	 | critic_loss : 169.997
Tot_step: 16927  	 | Episode: 520  	 | Time: 60.80 	 | Reward : 321.405 	 | actor_loss : -90.628 	 | critic_loss : 144.619
Tot_step: 18412  	 | Episode: 540  	 | Time: 74.25 	 | Reward : 374.345 	 | actor_loss : -90.370 	 | critic_loss : 125.232
Tot_step: 19799  	 | Episode: 560  	 | Time: 69.35 	 | Reward : 347.253 	 | actor_loss : -90.163 	 | critic_loss : 104.783
Tot_step: 21320  	 | Episode: 580  	 | Time: 76.05 	 | Reward : 392.178 	 | actor_loss : -91.093 	 | critic_loss : 84.401
Tot_step: 22907  	 | Episode: 600  	 | Time: 79.35 	 | Reward : 405.415 	 | actor_loss : -92.668 	 | critic_loss : 81.112
Tot_step: 24646  	 | Episode: 620  	 | Time: 86.95 	 | Reward : 437.995 	 | actor_loss : -94.934 	 | critic_loss : 75.948
Tot_step: 26189  	 | Episode: 640  	 | Time: 77.15 	 | Reward : 401.712 	 | actor_loss : -97.396 	 | critic_loss : 73.518
Tot_step: 27741  	 | Episode: 660  	 | Time: 77.60 	 | Reward : 390.766 	 | actor_loss : -98.762 	 | critic_loss : 73.189
Tot_step: 29329  	 | Episode: 680  	 | Time: 79.40 	 | Reward : 400.768 	 | actor_loss : -100.144 	 | critic_loss : 72.634
Tot_step: 31058  	 | Episode: 700  	 | Time: 86.45 	 | Reward : 438.357 	 | actor_loss : -101.095 	 | critic_loss : 71.242
Tot_step: 32667  	 | Episode: 720  	 | Time: 80.45 	 | Reward : 404.505 	 | actor_loss : -101.923 	 | critic_loss : 70.351
Tot_step: 34391  	 | Episode: 740  	 | Time: 86.20 	 | Reward : 416.090 	 | actor_loss : -102.737 	 | critic_loss : 69.499
Tot_step: 36127  	 | Episode: 760  	 | Time: 86.80 	 | Reward : 424.053 	 | actor_loss : -102.949 	 | critic_loss : 68.190
Tot_step: 37730  	 | Episode: 780  	 | Time: 80.15 	 | Reward : 411.948 	 | actor_loss : -103.104 	 | critic_loss : 63.656
Tot_step: 39430  	 | Episode: 800  	 | Time: 85.00 	 | Reward : 444.337 	 | actor_loss : -103.187 	 | critic_loss : 63.494
Tot_step: 40998  	 | Episode: 820  	 | Time: 78.40 	 | Reward : 408.979 	 | actor_loss : -103.706 	 | critic_loss : 61.339
Tot_step: 42896  	 | Episode: 840  	 | Time: 94.90 	 | Reward : 482.383 	 | actor_loss : -104.637 	 | critic_loss : 58.800
Tot_step: 44557  	 | Episode: 860  	 | Time: 83.05 	 | Reward : 426.408 	 | actor_loss : -105.389 	 | critic_loss : 56.394
Tot_step: 46354  	 | Episode: 880  	 | Time: 89.85 	 | Reward : 449.166 	 | actor_loss : -106.369 	 | critic_loss : 54.967
Tot_step: 48006  	 | Episode: 900  	 | Time: 82.60 	 | Reward : 413.332 	 | actor_loss : -106.810 	 | critic_loss : 54.139
Tot_step: 49675  	 | Episode: 920  	 | Time: 83.45 	 | Reward : 425.574 	 | actor_loss : -107.713 	 | critic_loss : 50.913
Tot_step: 51485  	 | Episode: 940  	 | Time: 90.50 	 | Reward : 454.278 	 | actor_loss : -108.890 	 | critic_loss : 51.644
Tot_step: 53184  	 | Episode: 960  	 | Time: 84.95 	 | Reward : 443.624 	 | actor_loss : -109.919 	 | critic_loss : 51.499
Tot_step: 55219  	 | Episode: 980  	 | Time: 101.75 	 | Reward : 523.863 	 | actor_loss : -111.271 	 | critic_loss : 49.485
Tot_step: 56934  	 | Episode: 1000 	 | Time: 85.75 	 | Reward : 454.350 	 | actor_loss : -112.180 	 | critic_loss : 48.750
Tot_step: 58458  	 | Episode: 1020 	 | Time: 76.20 	 | Reward : 406.018 	 | actor_loss : -113.343 	 | critic_loss : 47.878
Tot_step: 60367  	 | Episode: 1040 	 | Time: 95.45 	 | Reward : 507.075 	 | actor_loss : -114.683 	 | critic_loss : 46.761
Tot_step: 62370  	 | Episode: 1060 	 | Time: 100.15 	 | Reward : 520.258 	 | actor_loss : -115.943 	 | critic_loss : 45.733
Tot_step: 64491  	 | Episode: 1080 	 | Time: 106.05 	 | Reward : 535.202 	 | actor_loss : -117.325 	 | critic_loss : 45.974
Tot_step: 66767  	 | Episode: 1100 	 | Time: 113.80 	 | Reward : 552.294 	 | actor_loss : -118.356 	 | critic_loss : 46.373
Tot_step: 68891  	 | Episode: 1120 	 | Time: 106.20 	 | Reward : 546.116 	 | actor_loss : -119.347 	 | critic_loss : 44.856
Tot_step: 71079  	 | Episode: 1140 	 | Time: 109.40 	 | Reward : 555.305 	 | actor_loss : -120.249 	 | critic_loss : 45.954
Tot_step: 73475  	 | Episode: 1160 	 | Time: 119.80 	 | Reward : 595.809 	 | actor_loss : -121.306 	 | critic_loss : 45.765
Tot_step: 75519  	 | Episode: 1180 	 | Time: 102.20 	 | Reward : 501.857 	 | actor_loss : -122.044 	 | critic_loss : 48.828
Tot_step: 77961  	 | Episode: 1200 	 | Time: 122.10 	 | Reward : 632.741 	 | actor_loss : -122.826 	 | critic_loss : 45.391
Tot_step: 80182  	 | Episode: 1220 	 | Time: 111.05 	 | Reward : 588.512 	 | actor_loss : -123.870 	 | critic_loss : 47.032
Tot_step: 82514  	 | Episode: 1240 	 | Time: 116.60 	 | Reward : 603.002 	 | actor_loss : -124.571 	 | critic_loss : 46.670
Tot_step: 84951  	 | Episode: 1260 	 | Time: 121.85 	 | Reward : 624.603 	 | actor_loss : -125.652 	 | critic_loss : 46.998
Tot_step: 87532  	 | Episode: 1280 	 | Time: 129.05 	 | Reward : 664.300 	 | actor_loss : -127.062 	 | critic_loss : 45.966
Tot_step: 90241  	 | Episode: 1300 	 | Time: 135.45 	 | Reward : 698.151 	 | actor_loss : -127.986 	 | critic_loss : 47.376
Tot_step: 92802  	 | Episode: 1320 	 | Time: 128.05 	 | Reward : 651.749 	 | actor_loss : -128.814 	 | critic_loss : 46.957
Tot_step: 95562  	 | Episode: 1340 	 | Time: 138.00 	 | Reward : 693.760 	 | actor_loss : -129.349 	 | critic_loss : 48.194
Tot_step: 98204  	 | Episode: 1360 	 | Time: 132.10 	 | Reward : 671.269 	 | actor_loss : -129.955 	 | critic_loss : 47.613
